Lead ID,Date,Campaign ID,State,Lead Status,Cost,Conversion Date
L00357,2026-07-22,CMP-102,AZ,In Progress,27.46,
L00119,2026-07-07,CMP-102,TX,In Progress,24.75,
L00245,2026-07-14,CMP-112,TX,Rejected,14.89,
L00288,2026-07-18,CMP-101,FL,No Contact,30.82,
L00375,2026-07-23,CMP-102,NC,Converted,26.27,2026-07-30
L00120,2026-07-07,CMP-102,NY,No Contact,27.52,
L00035,2026-07-02,CMP-109,NY,Rejected,35.93,
L00424,2026-07-25,CMP-113,NC,In Progress,15.89,
L00039,2026-07-02,CMP-110,PA,Rejected,,
L00500,2026-07-30,CMP-103,OH,In Progress,26.31,
L00491,2026-07-29,CMP-112,CA,No Contact,15.46,
L00339,2026-07-20,CMP-109,NY,No Contact,39.18,
L00307,2026-07-18,CMP-113,NC,Rejected,13.96,
L00085,2026-07-05,CMP-107,GA,No Contact,31.48,
L00225,2026-07-13,CMP-104,NY,Converted,13.55,2026-07-15
L00020,2026-07-01,CMP-112,NC,Converted,14.09,2026-07-02
L00073,2026-07-04,CMP-109,OH,Rejected,34.06,
L00419,2026-07-25,CMP-108,GA,Converted,28.84,2026-07-27
L00076,2026-07-04,CMP-113,CO,No Contact,9.11,
L00381,2026-07-23,CMP-109,OH,No Contact,37.75,
L00362,2026-07-22,CMP-104,FL,In Progress,,
L00386,2026-07-23,CMP-112,TX,Converted,19.84,2026-07-31
L00418,2026-07-25,CMP-107,IL,In Progress,31.65,
L00453,2026-07-27,CMP-107,TX,Rejected,36.93,
L00265,2026-07-16,CMP-102,CO,Converted,32.37,2026-07-17
L00041,2026-07-02,CMP-110,CO,No Contact,30.39,
L00429,2026-07-26,CMP-103,WA,In Progress,31.04,
L00498,2026-07-30,CMP-102,PA,Rejected,34.94,
L00111,2026-07-06,CMP-110,CO,No Contact,33.47,
L00304,2026-07-18,CMP-113,OH,In Progress,14.89,
L00524,2026-07-31,CMP-103,WA,Rejected,26.31,
L00049,2026-07-03,CMP-104,NY,In Progress,16.45,
L00019,2026-07-01,CMP-111,PA,No Contact,22.78,
L00044,2026-07-03,CMP-102,NY,No Contact,33.65,
L00274,2026-07-17,CMP-104,TX,In Progress,14.91,
L00444,2026-07-26,CMP-113,WA,Rejected,11.56,
L00423,2026-07-25,CMP-113,NY,Rejected,12.46,
L00091,2026-07-05,CMP-109,NY,No Contact,42.87,
L00374,2026-07-23,CMP-102,PA,In Progress,30.89,
L00410,2026-07-25,CMP-103,CO,Rejected,,
L00276,2026-07-17,CMP-105,AZ,Converted,11.44,2026-07-20
L00335,2026-07-20,CMP-105,IL,Rejected,11.85,
L00161,2026-07-10,CMP-101,IL,No Contact,33.32,
L00115,2026-07-06,CMP-112,NC,Rejected,15.69,
L00329,2026-07-20,CMP-103,CA,No Contact,21.3,
L00069,2026-07-04,CMP-108,CO,No Contact,26.22,
L00466,2026-07-28,CMP-108,NC,No Contact,26.62,
L00216,2026-07-12,CMP-111,CO,Rejected,27.8,
L00393,2026-07-24,CMP-104,FL,No Contact,12.61,
L00132,2026-07-07,CMP-109,AZ,In Progress,46.43,
L00516,2026-07-30,CMP-111,GA,No Contact,26.99,
L00002,2026-07-01,CMP-101,IL,Rejected,28.72,
L00188,2026-07-11,CMP-110,CA,In Progress,34.3,
L00228,2026-07-13,CMP-108,OH,No Contact,26.19,
L00179,2026-07-11,CMP-101,OH,No Contact,29.86,
L00328,2026-07-20,CMP-103,OH,No Contact,26.23,
L00182,2026-07-11,CMP-104,TX,Rejected,13.11,
L00134,2026-07-07,CMP-109,FL,Converted,34.04,2026-07-12
L00249,2026-07-15,CMP-103,AZ,No Contact,27.22,
L00284,2026-07-17,CMP-109,NY,No Contact,41.76,
L00497,2026-07-30,CMP-101,NC,Rejected,36.68,
L00336,2026-07-20,CMP-107,WA,Rejected,29.2,
L00440,2026-07-26,CMP-112,OH,In Progress,16.18,
L00264,2026-07-16,CMP-102,OH,No Contact,23.56,
L00143,2026-07-08,CMP-106,NC,Rejected,15.77,
L00246,2026-07-14,CMP-112,OH,Rejected,13.84,
L00028,2026-07-02,CMP-105,GA,Rejected,13.64,
L00442,2026-07-26,CMP-113,NC,Rejected,10.15,
L00139,2026-07-07,CMP-113,NY,In Progress,11.25,
L00364,2026-07-22,CMP-105,WA,No Contact,11.76,
L00090,2026-07-05,CMP-109,CO,Rejected,44.02,
L00024,2026-07-02,CMP-102,WA,No Contact,28.17,
L00080,2026-07-05,CMP-102,WA,Converted,29.48,2026-07-07
L00126,2026-07-07,CMP-103,WA,In Progress,27.78,
L00243,2026-07-14,CMP-111,AZ,Rejected,17.52,
L00371,2026-07-22,CMP-112,FL,No Contact,14.82,
L00327,2026-07-20,CMP-102,OH,No Contact,28.59,
L00505,2026-07-30,CMP-106,TX,No Contact,,
L00409,2026-07-25,CMP-103,CA,No Contact,26.9,
L00473,2026-07-28,CMP-112,GA,No Contact,12.24,
L00082,2026-07-05,CMP-105,FL,Converted,12.09,2026-07-10
L00469,2026-07-28,CMP-110,IL,Rejected,33.93,
L00232,2026-07-13,CMP-111,CO,In Progress,16.94,
L00502,2026-07-30,CMP-103,CA,Rejected,25.24,
L00038,2026-07-02,CMP-110,CO,Rejected,37.41,
L00141,2026-07-07,CMP-113,NY,Rejected,11.34,
L00237,2026-07-14,CMP-101,NC,Rejected,35.28,
L00417,2026-07-25,CMP-107,PA,Rejected,33.83,
L00333,2026-07-20,CMP-104,FL,No Contact,10.48,
L00270,2026-07-16,CMP-113,WA,In Progress,11.41,
L00338,2026-07-20,CMP-108,OH,Rejected,22.48,
L00092,2026-07-05,CMP-110,NC,No Contact,38.26,
L00081,2026-07-05,CMP-104,IL,Rejected,13.31,
