lead_id,lead_date,campaign_id,state_code,lead_status,is_converted,acquisition_cost,commission_revenue,is_cost_imputed
L00398,2026-07-24,CMP-108,GA,Rejected,0,22.05,0,false
L00399,2026-07-24,CMP-109,CO,Converted,1,45.25,195,false
L00400,2026-07-24,CMP-109,NY,Rejected,0,40.65,0,false
L00401,2026-07-24,CMP-110,TX,In Progress,0,25.52,0,false
L00402,2026-07-24,CMP-110,NY,No Contact,0,29.22,0,false
L00403,2026-07-24,CMP-110,FL,Rejected,0,33.45,0,false
L00404,2026-07-24,CMP-111,CA,Rejected,0,21.14,0,false
L00405,2026-07-24,CMP-113,TX,No Contact,0,10.01,0,false
L00406,2026-07-25,CMP-101,WA,Rejected,0,34.94,0,false
L00407,2026-07-25,CMP-102,NY,No Contact,0,29.19,0,false
L00408,2026-07-25,CMP-103,IL,No Contact,0,26.0,0,false
L00409,2026-07-25,CMP-103,CA,No Contact,0,26.9,0,false
L00410,2026-07-25,CMP-103,CO,Rejected,0,27.0,0,true
L00411,2026-07-25,CMP-103,NY,Rejected,0,27.18,0,false
L00412,2026-07-25,CMP-103,FL,No Contact,0,20.01,0,false
L00413,2026-07-25,CMP-104,NY,Converted,1,11.2,82,false
L00414,2026-07-25,CMP-105,IL,No Contact,0,11.26,0,false
L00415,2026-07-25,CMP-105,TX,In Progress,0,12.08,0,false
L00416,2026-07-25,CMP-105,IL,Rejected,0,9.94,0,false
L00417,2026-07-25,CMP-107,PA,Rejected,0,33.83,0,false
L00418,2026-07-25,CMP-107,IL,In Progress,0,31.65,0,false
L00419,2026-07-25,CMP-108,GA,Converted,1,28.84,150,false
L00420,2026-07-25,CMP-109,NY,Rejected,0,38.98,0,false
L00421,2026-07-25,CMP-110,AZ,No Contact,0,31.25,0,false
L00422,2026-07-25,CMP-112,OH,In Progress,0,16.19,0,false
L00423,2026-07-25,CMP-113,NY,Rejected,0,12.46,0,false
L00424,2026-07-25,CMP-113,NC,In Progress,0,15.89,0,false
L00425,2026-07-25,CMP-113,AZ,No Contact,0,11.0,0,false
L00426,2026-07-25,CMP-113,NC,Rejected,0,12.18,0,false
L00427,2026-07-26,CMP-102,NY,In Progress,0,31.09,0,false
L00428,2026-07-26,CMP-103,NY,Rejected,0,31.22,0,false
L00429,2026-07-26,CMP-103,WA,In Progress,0,31.04,0,false
L00430,2026-07-26,CMP-104,TX,No Contact,0,11.1,0,false
L00431,2026-07-26,CMP-104,NC,Rejected,0,13.75,0,false
L00432,2026-07-26,CMP-104,CA,Converted,1,12.42,82,false
L00433,2026-07-26,CMP-105,WA,Converted,1,9.68,78,false
L00434,2026-07-26,CMP-106,PA,No Contact,0,19.19,0,false
L00435,2026-07-26,CMP-107,FL,Rejected,0,35.73,0,false
L00436,2026-07-26,CMP-109,FL,No Contact,0,37.19,0,false
L00437,2026-07-26,CMP-110,WA,No Contact,0,29.3,0,false
L00438,2026-07-26,CMP-112,IL,Converted,1,14.34,90,false
L00439,2026-07-26,CMP-112,CA,Converted,1,16.02,90,false
L00440,2026-07-26,CMP-112,OH,In Progress,0,16.18,0,false
L00441,2026-07-26,CMP-113,IL,Rejected,0,15.15,0,false
L00442,2026-07-26,CMP-113,NC,Rejected,0,10.15,0,false
L00443,2026-07-26,CMP-113,GA,Rejected,0,10.5,0,false
L00444,2026-07-26,CMP-113,WA,Rejected,0,11.56,0,false
L00445,2026-07-27,CMP-101,NC,Rejected,0,25.92,0,false
L00446,2026-07-27,CMP-101,CA,Converted,1,36.48,165,false
L00447,2026-07-27,CMP-101,FL,No Contact,0,34.59,0,false
L00448,2026-07-27,CMP-102,GA,No Contact,0,32.77,0,false
L00449,2026-07-27,CMP-103,TX,Rejected,0,27.0,0,true
L00450,2026-07-27,CMP-103,NY,No Contact,0,21.02,0,false
L00451,2026-07-27,CMP-104,PA,Converted,1,13.98,82,false
L00452,2026-07-27,CMP-106,CA,No Contact,0,18.0,0,true
L00453,2026-07-27,CMP-107,TX,Rejected,0,36.93,0,false
L00454,2026-07-27,CMP-108,PA,Converted,1,27.39,150,false
L00455,2026-07-27,CMP-108,CO,Converted,1,29.75,150,false
L00456,2026-07-27,CMP-109,NY,In Progress,0,35.69,0,false
L00457,2026-07-27,CMP-112,WA,No Contact,0,15.05,0,false
L00458,2026-07-27,CMP-113,GA,Rejected,0,13.97,0,false
L00459,2026-07-27,CMP-113,IL,No Contact,0,12.53,0,false
L00460,2026-07-28,CMP-101,NY,No Contact,0,36.83,0,false
L00461,2026-07-28,CMP-102,FL,Rejected,0,21.28,0,false
L00462,2026-07-28,CMP-104,NC,Converted,1,12.95,82,false
L00463,2026-07-28,CMP-104,FL,Converted,1,13.13,82,false
L00464,2026-07-28,CMP-106,CO,No Contact,0,13.56,0,false
L00465,2026-07-28,CMP-108,NC,Rejected,0,28.34,0,false
L00466,2026-07-28,CMP-108,NC,No Contact,0,26.62,0,false
L00467,2026-07-28,CMP-109,OH,Rejected,0,38.0,0,true
L00468,2026-07-28,CMP-110,CO,Rejected,0,35.16,0,false
L00469,2026-07-28,CMP-110,IL,Rejected,0,33.93,0,false
L00470,2026-07-28,CMP-110,TX,No Contact,0,36.93,0,false
L00471,2026-07-28,CMP-111,CA,No Contact,0,23.75,0,false
L00472,2026-07-28,CMP-111,IL,No Contact,0,22.51,0,false
L00473,2026-07-28,CMP-112,GA,No Contact,0,12.24,0,false
L00474,2026-07-28,CMP-112,TX,No Contact,0,14.3,0,false
L00475,2026-07-28,CMP-112,WA,Rejected,0,15.65,0,false
L00476,2026-07-28,CMP-113,OH,No Contact,0,12.83,0,false
L00477,2026-07-28,CMP-113,WA,Rejected,0,12.42,0,false
L00478,2026-07-28,CMP-113,OH,No Contact,0,10.7,0,false
L00479,2026-07-29,CMP-101,CO,In Progress,0,37.21,0,false
L00480,2026-07-29,CMP-102,NC,No Contact,0,28.02,0,false
L00481,2026-07-29,CMP-103,CO,Rejected,0,33.83,0,false
L00482,2026-07-29,CMP-104,CO,Converted,1,14.6,82,false
L00483,2026-07-29,CMP-105,WA,Rejected,0,8.79,0,false
L00484,2026-07-29,CMP-105,CO,Rejected,0,11.0,0,true
L00485,2026-07-29,CMP-106,FL,In Progress,0,23.62,0,false
L00486,2026-07-29,CMP-106,CA,In Progress,0,19.77,0,false
L00487,2026-07-29,CMP-107,IL,In Progress,0,33.28,0,false
L00488,2026-07-29,CMP-108,NC,Converted,1,20.02,150,false
L00489,2026-07-29,CMP-110,AZ,No Contact,0,28.12,0,false
L00490,2026-07-29,CMP-111,TX,In Progress,0,22.75,0,false
L00491,2026-07-29,CMP-112,CA,No Contact,0,15.46,0,false
L00492,2026-07-29,CMP-112,CO,No Contact,0,15.93,0,false
L00493,2026-07-29,CMP-112,NY,Converted,1,15.78,90,false
L00494,2026-07-29,CMP-112,OH,Rejected,0,16.0,0,false
L00495,2026-07-29,CMP-113,FL,Rejected,0,13.57,0,false
L00496,2026-07-30,CMP-101,GA,Rejected,0,32.96,0,false
L00497,2026-07-30,CMP-101,NC,Rejected,0,36.68,0,false
L00498,2026-07-30,CMP-102,PA,Rejected,0,34.94,0,false
L00499,2026-07-30,CMP-102,NC,In Progress,0,29.43,0,false
L00500,2026-07-30,CMP-103,OH,In Progress,0,26.31,0,false
L00501,2026-07-30,CMP-103,AZ,Rejected,0,29.21,0,false
L00502,2026-07-30,CMP-103,CA,Rejected,0,25.24,0,false
L00503,2026-07-30,CMP-104,WA,In Progress,0,12.73,0,false
L00504,2026-07-30,CMP-105,TX,Converted,1,11.81,78,false
L00505,2026-07-30,CMP-106,TX,No Contact,0,18.0,0,true
L00506,2026-07-30,CMP-106,TX,Rejected,0,19.08,0,false
L00507,2026-07-30,CMP-106,OH,In Progress,0,17.06,0,false
L00508,2026-07-30,CMP-107,GA,Rejected,0,41.03,0,false
L00509,2026-07-30,CMP-108,PA,No Contact,0,26.63,0,false
L00510,2026-07-30,CMP-108,OH,Rejected,0,33.09,0,false
L00511,2026-07-30,CMP-108,IL,Converted,1,30.6,150,false
L00512,2026-07-30,CMP-108,WA,No Contact,0,23.45,0,false
L00513,2026-07-30,CMP-109,IL,Rejected,0,42.41,0,false
L00514,2026-07-30,CMP-110,IL,No Contact,0,32.15,0,false
L00515,2026-07-30,CMP-110,FL,In Progress,0,39.03,0,false
L00516,2026-07-30,CMP-111,GA,No Contact,0,26.99,0,false
L00517,2026-07-30,CMP-111,WA,In Progress,0,23.75,0,false
L00518,2026-07-30,CMP-111,AZ,No Contact,0,21.14,0,false
L00519,2026-07-30,CMP-112,OH,No Contact,0,17.58,0,false
L00520,2026-07-30,CMP-113,GA,No Contact,0,13.34,0,false
L00521,2026-07-31,CMP-101,TX,In Progress,0,32.81,0,false
L00522,2026-07-31,CMP-101,OH,No Contact,0,37.63,0,false
L00523,2026-07-31,CMP-102,CA,In Progress,0,28.81,0,false
L00524,2026-07-31,CMP-103,WA,Rejected,0,26.31,0,false
L00525,2026-07-31,CMP-103,CA,No Contact,0,28.91,0,false
L00526,2026-07-31,CMP-104,AZ,Rejected,0,12.2,0,false
L00527,2026-07-31,CMP-104,NY,In Progress,0,11.35,0,false
L00528,2026-07-31,CMP-106,FL,In Progress,0,18.58,0,false
L00529,2026-07-31,CMP-107,NY,No Contact,0,33.54,0,false
L00530,2026-07-31,CMP-107,PA,Rejected,0,33.32,0,false
L00531,2026-07-31,CMP-108,OH,No Contact,0,30.48,0,false
L00532,2026-07-31,CMP-109,NY,No Contact,0,40.32,0,false
L00533,2026-07-31,CMP-111,FL,No Contact,0,22.01,0,false
L00534,2026-07-31,CMP-113,FL,No Contact,0,10.16,0,false
